giornata,squadra,avversario,fantapunti,gol_fatti,gol_subiti
3,squadra-01,squadra-02,74.5,3,2
3,squadra-02,squadra-01,70.0,2,3
3,squadra-03,squadra-04,77.0,4,1
3,squadra-04,squadra-03,66.5,1,4
3,squadra-05,squadra-06,69.5,1,1
3,squadra-06,squadra-05,70.0,1,1
3,squadra-07,squadra-08,73.5,3,2
3,squadra-08,squadra-07,71.0,2,3
3,squadra-09,squadra-10,68.0,1,0
3,squadra-10,squadra-09,64.5,0,1
3,squadra-11,squadra-12,72.0,2,2
3,squadra-12,squadra-11,72.5,2,2
3,squadra-13,squadra-14,67.5,1,2
3,squadra-14,squadra-13,70.5,2,1
4,squadra-01,squadra-02,78.5,4,2
4,squadra-02,squadra-01,71.0,2,4
4,squadra-03,squadra-04,69.5,1,1
4,squadra-04,squadra-03,68.0,1,1
4,squadra-05,squadra-06,74.0,3,2
4,squadra-06,squadra-05,70.0,2,3
4,squadra-07,squadra-08,66.5,1,0
4,squadra-08,squadra-07,64.0,0,1
4,squadra-09,squadra-10,72.5,2,2
4,squadra-10,squadra-09,72.0,2,2
4,squadra-11,squadra-12,67.0,1,0
4,squadra-12,squadra-11,65.0,0,1
4,squadra-13,squadra-14,75.5,3,1
4,squadra-14,squadra-13,67.5,1,3
5,squadra-01,squadra-03,70.0,2,3
5,squadra-03,squadra-01,74.5,3,2
5,squadra-02,squadra-04,68.0,1,2
5,squadra-04,squadra-02,71.0,2,1
5,squadra-05,squadra-07,76.0,4,1
5,squadra-07,squadra-05,67.0,1,4
5,squadra-06,squadra-08,69.0,1,1
5,squadra-08,squadra-06,69.5,1,1
5,squadra-09,squadra-11,73.0,3,2
5,squadra-11,squadra-09,70.5,2,3
5,squadra-10,squadra-12,65.0,0,1
5,squadra-12,squadra-10,66.5,1,0
5,squadra-13,squadra-14,72.0,2,0
5,squadra-14,squadra-13,64.0,0,2
